,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Class
0,-233.76312,105.293144,-37.035294,33.383995,-14.346704,-11.358422,-9.268774,2.1459181,-17.85403,0.99855816,-8.833968,9.051035,-4.6619086,5.0472255,-5.9652076,-4.7731943,-6.964874,1.0389884,-5.7449126,1.0249754,-3.2534413,-0.3018843,-1.088271,0.63361233,2.8578541,4.7950034,1.8071594,0.7879788,0.28383252,2.0770304,5.299026,0.84980583,-1.8969393,-5.6331716,-3.551533,-2.5777915,-1.1901054,-2.165631,-0.5661494,0.8987708,Q3
1,-58.508404,101.55035,-73.78764,71.28988,-22.01404,25.88694,-13.503711,27.429348,-6.8228607,15.434646,2.1045763,3.8945632,5.5067677,-7.5153766,8.358387,-5.109527,6.4915175,-11.658198,8.116183,-7.6088405,0.36548138,-3.2397778,-1.9039836,3.1635902,-5.882612,-1.510644,-7.46242,1.0703106,-2.9136963,0.33217317,-10.53429,-1.7848642,-3.754245,-0.66054296,-3.517751,-4.844555,-1.463612,-8.098192,0.031632524,-4.7690983,Q2
2,16.41093,90.22144,-27.060678,51.063503,-1.6106589,38.527634,-12.417948,24.851696,-6.319453,14.617049,-3.870667,14.551158,-5.436789,12.667434,-5.0633817,9.596191,-6.794183,6.4389586,-7.869556,2.735305,-7.892882,0.93971425,-4.70072,0.41818428,-2.6865122,0.14102237,-4.861541,-0.6759607,-4.732677,-1.7475573,-5.5037365,-2.772637,-3.0940619,-3.2750118,-2.2365122,-2.7504437,-1.1601187,-2.399416,-1.310384,-2.8348775,Q2
3,-93.936775,103.56837,12.4860525,36.84893,1.8851308,25.878534,-2.4517498,13.302483,-12.688809,7.2286105,-16.367115,3.139768,-12.54081,9.371083,-12.815302,4.0303555,-8.834301,3.834096,-8.305768,1.1714182,-7.46962,4.7951427,-6.5815063,1.5939964,-5.684344,-0.953873,-7.71511,0.047097273,-3.1785483,-1.4511845,-4.9127517,1.0541234,-2.3626199,1.5014175,1.3072745,0.7736698,-2.275789,-2.534871,-4.2173185,-2.5292509,Q1
4,-120.35577,87.557556,-18.502779,36.747585,-5.7775264,10.562883,-9.573497,16.81269,-13.847594,12.169445,-9.274682,6.253216,-13.22814,4.247745,-6.020015,7.619803,-6.1114197,3.0859056,-11.686616,1.8100917,-0.7888388,6.1758003,-3.7326088,-4.6530895,-8.646582,-3.143628,-3.0329847,1.8294045,-6.289094,-2.594083,-0.0052130623,-0.2802198,1.3107811,-2.1500673,-2.0719895,-2.6553469,-4.0257835,-3.562472,-4.2170463,-0.07330417,Q3
5,-326.97272,135.64554,27.120155,29.268862,-0.6027457,22.17549,-0.06158624,9.3411665,-4.5333,8.918904,0.4199513,8.78169,-1.2081379,8.757132,0.36783442,5.138493,-2.555028,2.9532275,-4.0110564,-0.30961236,-4.4419246,-0.93300915,-0.5161778,0.22742121,-3.0512187,-2.9995039,-4.1096587,-3.2239966,-1.6495053,-0.26285142,-2.914217,-4.0676727,1.8270726,0.60992104,1.8146173,-0.34918633,-1.1067294,-3.2981117,-1.4063882,-3.141778,Q4
6,-80.35567,85.42922,-13.957544,41.20912,-7.5735583,17.166641,-11.411505,8.157384,-20.648825,11.541968,-14.105617,10.010336,-11.625725,1.7727324,-6.1254387,7.949665,-14.164947,9.145914,-13.3577795,-3.08779,-1.9985245,1.7632695,-9.067604,3.5139766,-4.002333,1.1963257,-3.946361,-0.13575827,-3.820831,0.284293,-7.2197347,-5.8460436,-7.1143093,-2.7486193,-3.8250728,-1.4667764,-4.3019896,-1.833418,-4.8370647,-1.97172,Q1
7,-40.5824,101.594025,-18.605387,46.816097,-13.068004,18.971636,-13.797189,13.073878,-10.216018,16.988483,-15.796857,7.919124,-14.918036,7.4833155,-9.054272,2.9455702,-9.343323,5.349712,-3.366677,6.2794924,-5.5920196,4.218894,-8.132838,2.9079452,-9.090148,4.821617,0.5474481,3.8981879,-2.6531367,-0.9938409,-4.423139,-2.6006007,-3.2380664,0.88170284,-2.697971,-1.9455916,-2.082059,0.5747006,-1.6844287,1.1077486,Q3
8,-140.6268,63.988045,-9.000293,32.502945,3.1781688,27.421389,-1.7238578,14.892975,-3.6420276,13.565441,-4.459111,12.700597,-3.1369336,6.5434422,-0.879878,5.920166,-3.2406404,5.217576,-7.6334944,4.3577957,0.112016335,8.5746355,0.11690867,6.6222205,-2.3148818,0.24293444,-1.9762546,1.2888285,-3.6365588,-0.37030628,-1.560104,3.48833,0.9162396,3.2310486,-1.2186286,1.0752243,-0.6647939,-0.40361398,-2.1258092,1.0343335,Q4
9,-3.0652282,76.77893,-29.963531,48.922558,1.9498756,28.810087,-3.9040997,22.099195,-7.0812664,19.776016,-8.317099,15.397776,-9.243909,9.142052,-8.396858,9.17867,-7.096106,8.358591,-1.881655,4.915321,-7.1597624,1.9537228,-6.260524,2.4284444,-6.96174,-1.0612206,-6.212525,0.030171162,-2.3575087,-0.41756892,-3.758968,-1.2788804,-5.1564336,0.34075323,-2.53372,-0.83666277,-2.3165123,-0.40078586,-3.4613874,-4.8863544,Q2
10,-146.3774,91.30547,-2.3213806,22.153963,7.458728,22.663548,-5.488824,20.868761,-4.526098,18.833593,-5.4788446,12.404772,-5.520741,8.123638,-3.9331164,10.156849,-8.401065,6.983217,-3.5244277,4.5626454,-7.8890657,3.0902076,-7.8219547,6.0118628,-6.7109365,3.1677692,-1.4880413,0.62435246,-3.3450577,-3.1369104,-2.7912006,4.2804275,-0.9541944,2.72788,-2.9390714,-2.0995011,-3.952509,3.3324792,-0.5374254,-0.94473976,Q4
11,-196.52644,125.9479,11.968205,35.55916,9.591191,14.820792,-0.9851363,13.436087,-12.355076,12.671754,-8.56666,0.97022957,-5.9801397,5.0278935,-6.5710697,0.868009,-7.6611805,4.5892982,-8.969447,5.9940734,-2.5019958,2.8170292,-4.572954,2.493095,1.185133,3.6788316,1.7223723,-0.9263295,-2.0363865,-1.728192,-2.6038215,1.63935,-0.89010864,-1.6983278,-1.2227762,-2.178087,-2.398953,-0.57044613,-0.6226152,-0.42922482,Q4
12,-88.7997,112.53058,-52.047844,21.82889,-49.628017,25.58903,-25.94954,17.487085,-14.970319,1.1905278,-11.135516,-6.2894554,0.65660834,-6.988546,3.3300405,-9.760165,3.8701146,-13.1996565,1.634176,-8.062508,2.9722521,-6.796066,0.5872834,-2.8141925,-6.4122534,2.8888843,-4.4460487,6.8607163,-5.2124395,2.994971,-1.2971698,6.9572163,0.14121196,-0.25923094,-2.7888618,-5.81319,-1.0879787,-3.4074986,0.96084344,-4.003688,Q3
13,23.927454,61.536613,-11.886784,58.005745,-8.562322,20.592669,-5.7246876,21.773582,-13.37287,14.559369,-13.131428,11.077691,-14.370765,5.824609,-13.419087,5.535894,-15.158301,5.2377667,-10.006855,4.3580003,-9.199166,3.2525647,-6.135087,1.6721836,-9.101905,1.4466083,-4.901733,0.8681142,-5.3779984,0.76000017,-5.011987,0.48965955,-3.793173,-1.1864601,-3.770779,0.057200916,-3.837071,-0.22417833,-2.6777616,-1.6915042,Q2
14,-71.12955,114.05955,4.0551314,37.761276,2.4083507,18.798307,-9.570714,15.176446,-17.194635,7.350423,-10.324198,9.475963,-7.626104,11.724122,-2.4850981,8.112978,-9.015619,7.3600264,-8.519508,1.591887,-6.494268,5.786329,-6.639803,2.3271906,-4.609193,-1.0886457,-6.2313128,1.516282,-2.3957884,3.0443053,-1.5118054,0.7549487,0.12539032,-0.05107931,-2.705839,-1.4862692,-4.864285,-4.2631183,-4.7952375,-4.8487024,Q4
15,-126.20945,136.64375,-13.01984,50.351818,-26.479033,25.285791,-18.826984,11.292347,-17.394579,0.3942556,-7.900232,-7.3710256,-3.9336047,-7.839965,-1.5727674,-10.340946,8.376177,-6.056268,12.345835,-2.4231246,2.3935997,-4.039731,-1.5217891,2.7453258,-2.5539267,3.230863,-7.28282,-0.5531347,-6.8055973,2.6321979,-1.8784785,-2.8853753,-7.239223,-3.4610703,-1.4300604,-0.6863526,1.9868422,-2.11119,-0.046070732,-7.4902205,Q4
